loop_size,tick,time
4854019,33988684,10.988401
2327383,16511472,5.338091
2609515,18270544,5.906791
3243138,22734040,7.349821
3217792,22533256,7.284908
3488666,24429896,7.898084
1764110,12407456,4.011279
2911843,20446948,6.610414
2440420,17088264,5.524565
3615519,25316084,8.184585
4666090,32683216,10.566348
1842766,12904984,4.172128
3426168,23992252,7.756596
4461734,31239884,10.099725
1439110,10077840,3.258124
2494223,17464876,5.646322
1796010,12718936,4.111979
3586080,25935664,8.384893
3370767,23604072,7.631099
3706215,25954012,8.390825
3385362,24480352,7.914396
1235441,8651924,2.797131
3243487,22714788,7.343597
3254469,22792168,7.368614
1970503,13800464,4.461633
1075643,7535152,2.436083
2375365,16633136,5.377424
1036293,7254060,2.345208
4694769,32879996,10.629967
3405706,23848204,7.710026
4082743,28589068,9.242727
4548788,33127216,10.709892
4733090,33147532,10.716460
1692258,11849752,3.830976
2791926,19547484,6.319621
2950882,20666652,6.681443
4180925,29275832,9.464755
3556036,24900064,8.050088
4862726,34052396,11.008999
1621345,11358828,3.672262
2171556,15206240,4.916114
4528817,31715236,10.253404
2464111,17254300,5.578244
4597725,32198332,10.409587
3990551,27943124,9.033896
2903222,20331916,6.573224
2091948,14647944,4.735620
4786561,33522212,10.837592
1489303,11169776,3.611142
4462716,31251968,10.103632
3492777,24462492,7.908622
3874665,27132872,8.771945
4698158,32899964,10.636422
1736264,12159224,3.931027
2129135,14909184,4.820077
1668661,11684756,3.777633
1811907,12690620,4.102825
3504500,24542516,7.934494
1704955,12325196,3.984685
1506676,10552024,3.411426
1910207,13376676,4.324624
4787698,34153976,11.041839
1055465,7388268,2.388596
1643297,11508656,3.720701
1479957,10363504,3.350478
2847391,19942348,6.447279
3594180,25169604,8.137229
4660882,32636840,10.551355
1403427,9827984,3.177347
3456906,24207484,7.826179
1282227,9237540,2.986458
2574984,18113116,5.855895
2985723,20908988,6.759789
2746339,19235476,6.218750
2172709,15214212,4.918692
1976274,13838004,4.473769
4649562,32561084,10.526864
3264657,22857940,7.389877
1762836,12345096,3.991118
1138865,7975936,2.578587
2727374,19543140,6.318216
4255614,29799816,9.634157
4013530,28102568,9.085444
2425532,17817140,5.760208
4991879,34956488,11.301288
1142665,7998668,2.585936
3094193,22036636,7.124353
1803787,12631776,4.083801
3647166,25543848,8.258220
3799148,26602784,8.600570
2310464,16178180,5.230339
4557373,31914972,10.317978
3586847,25118020,8.120552
2365929,16565316,5.355498
1200671,8409896,2.718885
4066804,28475852,9.206125
4213320,29513504,9.541594
3794852,26572412,8.590751
3727686,26102028,8.438678
4616748,32328852,10.451784
2251758,15766008,5.097085
4009914,28079308,9.077924
2191732,15345716,4.961206
4237482,29675756,9.594049
1756254,12298804,3.976152
3364442,23559348,7.616640
1213757,8496312,2.746822
1405816,9845748,3.183090
1629100,12221812,3.951261
1976594,13840856,4.474691
1544682,10817780,3.497343
3356474,23503304,7.598521
1232209,8630464,2.790193
4558212,31916392,10.318437
4782006,33489796,10.827112
1224088,8608576,2.783117
4700878,32972784,10.659965
2876200,20165628,6.519464
2027876,14199928,4.590778
3348044,23445920,7.579969
1675348,11730756,3.792505
3338340,23374964,7.557029
2905418,20348252,6.578506
4262195,30668192,9.914899
4704270,32939860,10.649320
3106090,21751096,7.032039
3329000,23307632,7.535261
3917590,27550044,8.906815
1900942,14021264,4.533017
2056687,14401936,4.656086
3534339,24751728,8.002131
3152701,22904936,7.405071
1066602,7466224,2.413799
4726072,33096632,10.700004
2390183,16736932,5.410981
1822856,12767664,4.127733
3090514,21643000,6.997092
2603941,18236952,5.895931
2228673,15606036,5.045367
3719615,26307544,8.505120
3580535,25073500,8.106159
2773355,19564520,6.325128
2076089,14538092,4.700105
3812744,27236640,8.805493
2331568,16326528,5.278299
1858095,13010592,4.206271
4036833,28269460,9.139399
